STATIONS_ID;MESS_DATUM;QN;RS_01;RS_IND_01;eor
         73;202303310702;    2;   0.00;-999;eor
         73;202303310703;    2;   0.00;-999;eor
         73;202303310704;    2;   0.00;-999;eor
         73;202303310705;    2;   0.00;-999;eor
         73;202303310706;    2;   0.00;-999;eor
         73;202303310707;    2;   0.00;-999;eor
         73;202303310708;    2;   0.00;-999;eor
         73;202303310709;    2;   0.00;-999;eor
         73;202303310710;    2;   0.00;-999;eor
         73;202303310711;    2;   0.00;-999;eor
         73;202303310712;    2;   0.00;-999;eor
         73;202303310713;    2;   0.00;-999;eor
         73;202303310714;    2;   0.00;-999;eor
         73;202303310715;    2;   0.00;-999;eor
         73;202303310716;    2;   0.00;-999;eor
         73;202303310717;    2;   0.00;-999;eor
         73;202303310718;    2;   0.00;-999;eor
         73;202303310719;    2;   0.00;-999;eor
         73;202303310720;    2;   0.00;-999;eor
         73;202303310721;    2;   0.00;-999;eor
         73;202303310722;    2;   0.00;-999;eor
         73;202303310723;    2;   0.00;-999;eor
         73;202303310724;    2;   0.00;-999;eor
         73;202303310725;    2;   0.00;-999;eor
         73;202303310726;    2;   0.00;-999;eor
         73;202303310727;    2;   0.00;-999;eor
         73;202303310728;    2;   0.00;-999;eor
         73;202303310729;    2;   0.00;-999;eor
         73;202303310730;    2;   0.00;-999;eor
         73;202303310731;    2;   0.00;-999;eor
         73;202303310732;    2;   0.00;-999;eor
         73;202303310733;    2;   0.00;-999;eor
         73;202303310734;    2;   0.00;-999;eor
         73;202303310735;    2;   0.00;-999;eor
         73;202303310736;    2;   0.00;-999;eor
         73;202303310737;    2;   0.00;-999;eor
         73;202303310738;    2;   0.00;-999;eor
         73;202303310739;    2;   0.00;-999;eor
         73;202303310740;    2;   0.00;-999;eor
         73;202303310741;    2;   0.00;-999;eor
         73;202303310742;    2;   0.00;-999;eor
         73;202303310743;    2;   0.00;-999;eor
         73;202303310744;    2;   0.00;-999;eor
         73;202303310745;    2;   0.00;-999;eor
         73;202303310746;    2;   0.00;-999;eor
         73;202303310747;    2;   0.00;-999;eor
         73;202303310748;    2;   0.00;-999;eor
         73;202303310749;    2;   0.00;-999;eor
