Stations_id;Stationsname;geogr. Breite;geogr. Laenge;Stationshoehe;Bundesland;
        163;Anger-Stoißberg                         ;   47.802962;    12.81924;        827.5;Bayern                                  ;
        164;Angermünde                              ;   53.031558;    13.99082;         53.9;Brandenburg                             ;
        165;Angern                                  ;   52.361097;   11.734618;           50;Sachsen-Anhalt                          ;
        166;Angersdorf                              ;     51.4667;        11.9;          108;Sachsen-Anhalt                          ;
        167;Anklam                                  ;   53.840813;   13.685415;           11;Mecklenburg-Vorpommern                  ;
        168;Ankum                                   ;   52.546058;    7.876312;           62;Niedersachsen                           ;
        169;Annaberg-Buchholz                       ;   50.573012;   13.005262;          630;Sachsen                                 ;
        170;Annaburg                                ;   51.730878;   13.054575;           76;Sachsen-Anhalt                          ;
        172;Annaturm                                ;   52.248598;    9.505562;          395;Niedersachsen                           ;
        173;Annweiler                               ;   49.202841;    7.971915;          200;Rheinland-Pfalz                         ;
        174;Annweiler-Bindersbach                   ;   49.188643;    7.976615;          250;Rheinland-Pfalz                         ;
        175;Ansbach                                 ;   49.296441;   10.575139;          413;Bayern                                  ;
        177;Ansbach-Hennenbach                      ;   49.315838;   10.581537;          418;Bayern                                  ;
        178;Ansbach-Schalkhausen                    ;   49.299265;   10.535427;          418;Bayern                                  ;
        179;Apfeldorf                               ;   47.896302;   10.932006;          664;Bayern                                  ;
        180;Apolda                                  ;   51.030648;   11.504976;          205;Thüringen                               ;
        182;Arendsee-Kläden                         ;   52.868206;       11.44;           33;Sachsen-Anhalt                          ;
        183;Arkona                                  ;   54.679109;   13.434416;           42;Mecklenburg-Vorpommern                  ;
        184;Arneburg                                ;   52.676863;   12.007669;           55;Sachsen-Anhalt                          ;
        185;Arnis                                   ;   54.628927;    9.929365;            3;Schleswig-Holstein                      ;
        186;Arnsberg                                ;   51.377293;    8.071289;        217.9;Nordrhein-Westfalen                     ;
        187;Arnsberg-Holzen                         ;   51.418809;    7.912597;          265;Nordrhein-Westfalen                     ;
        188;Arnstadt                                ;       50.85;     10.9667;          267;Thüringen                               ;
        189;Arnstein-Altbessingen                   ;   50.026954;    9.977117;          265;Bayern                                  ;
        190;Arnstein-Marbach                        ;    49.97446;    9.933224;          202;Bayern                                  ;
        191;Arnstein-Müdesheim                      ;   49.969403;    9.911391;        216.5;Bayern                                  ;
        192;Arnstorf                                ;    48.55654;    12.81263;          385;Bayern                                  ;
        193;Arolsen-Neu Berich                      ;   51.384495;    9.082036;          232;Hessen                                  ;
        194;Arolsen-Landau, Bad                     ;   51.343117;    9.076333;          265;Hessen                                  ;
        196;Arolsen-Schmillinghausen, Bad           ;     51.4333;      9.0167;          248;Hessen                                  ;
        198;Artern                                  ;   51.374418;   11.291962;        163.9;Thüringen                               ;
        199;Artlenburg                              ;   53.375173;   10.479496;            6;Niedersachsen                           ;
        200;Lauperath-Scheidchen                    ;   50.084966;    6.316098;          517;Rheinland-Pfalz                         ;
        201;Asbach                                  ;   50.666095;    7.445927;          255;Rheinland-Pfalz                         ;
        202;Aschaffenburg                           ;   49.977088;    9.109099;        110.5;Bayern                                  ;
        203;Aschau-Innerkoy                         ;   47.786014;   12.336791;          607;Bayern                                  ;
        204;Aschau-Sachrang                         ;   47.700194;   12.273094;          731;Bayern                                  ;
        205;Aschau-Stein                            ;   47.727538;   12.298183;          681;Bayern                                  ;
        206;Aschendorf                              ;       53.05;      7.3333;            3;Niedersachsen                           ;
        207;Aschersleben                            ;   51.749765;    11.46667;          105;Sachsen-Anhalt                          ;
        208;Aseleben                                ;   51.488697;   11.667944;          100;Sachsen-Anhalt                          ;
        209;Aspach-Allmersbach am Weinberg          ;   48.995669;    9.393312;          318;Baden-Württemberg                       ;
        211;Aßlar Klein-Altenstädten                ;   50.579959;    8.468468;          200;Hessen                                  ;
        213;Sargstedt                               ;   51.937541;   10.989739;          170;Sachsen-Anhalt                          ;
        214;Attendorn                               ;   51.121222;    7.910814;          307;Nordrhein-Westfalen                     ;
        216;Attendorn-Neulisternohl                 ;   51.114277;    7.880705;          298;Nordrhein-Westfalen                     ;
        217;Attenkam                                ;   47.877428;   11.364282;          670;Bayern                                  ;
        218;Staßfurt-Atzendorf                      ;   51.916587;   11.602023;         82.6;Sachsen-Anhalt                          ;
        219;Atzendorf (Marbeschacht)                ;     51.9167;     11.5667;           77;Sachsen-Anhalt                          ;
        220;Au am Rhein                             ;   48.950071;    8.232379;          109;Baden-Württemberg                       ;
        221;Au i.d.Hallertau-Günzenhausen           ;   48.551532;   11.711686;          483;Bayern                                  ;
        222;Aue                                     ;   50.590826;   12.713873;          393;Sachsen                                 ;
        223;Auerbach/Oberpfalz                      ;    49.70074;   11.623457;        418.5;Bayern                                  ;
        224;Auerberg                                ;     47.7333;     10.7333;         1045;Bayern                                  ;
        225;Auerstedt                               ;        51.1;     11.5833;          150;Thüringen                               ;
        226;Aufkirchen                              ;   48.305961;   11.858569;          480;Bayern                                  ;
        227;Aufseß-Hochstahl                        ;   49.882337;   11.265587;        431.5;Bayern                                  ;
        228;Augsburg (Hochablaß)                    ;   48.347351;   10.935099;          486;Bayern                                  ;
        229;Augsburg (Kläranlage)                   ;        48.4;        10.9;          470;Bayern                                  ;
        230;Augsburg (Schlachthof)                  ;     48.3667;     10.9167;          479;Bayern                                  ;
        231;Augsburg (Sankt Stephan)                ;   48.372348;   10.894805;          490;Bayern                                  ;
        232;Augsburg                                ;   48.425292;   10.941681;        461.5;Bayern                                  ;
        234;Augsdorf                                ;   51.600083;   11.568857;          190;Sachsen-Anhalt                          ;
        235;Augustdorf                              ;   51.890536;    8.732285;          163;Nordrhein-Westfalen                     ;
        236;Augustenberg                            ;   49.004765;    8.493241;          153;Baden-Württemberg                       ;
        237;Augustusburg                            ;   50.812385;   13.103342;          451;Sachsen                                 ;
        240;Aura im Sinngrund                       ;   50.180523;    9.574273;        292.5;Bayern                                  ;
        242;Aurach-Weinberg                         ;   49.233147;    10.36347;          510;Bayern                                  ;
        243;Aurich                                  ;   53.462052;    7.466971;            4;Niedersachsen                           ;
        244;Aurich-Dietrichsfeld                    ;   53.539244;    7.515863;           10;Niedersachsen                           ;
        245;Aurich-Wiesens                          ;   53.458453;    7.574754;            8;Niedersachsen                           ;
        246;Axien                                   ;   51.701482;   12.890855;           73;Sachsen-Anhalt                          ;
        247;Aying-Kleinhelfendorf                   ;   47.942203;   11.810282;          641;Bayern                                  ;
        248;Baalberge                               ;   51.763366;   11.800719;           67;Sachsen-Anhalt                          ;
        249;Babenhausen-Harreshausen                ;   49.970756;    8.986163;          122;Hessen                                  ;
        250;Babenhausen-Hergershausen               ;   49.950558;    8.889777;          131;Hessen                                  ;
        251;Bachhaupten                             ;     47.9833;      9.4333;          640;Baden-Württemberg                       ;
        252;Backnang                                ;   48.954574;    9.433607;          291;Baden-Württemberg                       ;
        255;Badbergen                               ;   52.634648;    7.978795;           30;Niedersachsen                           ;
        256;Baddeckenstedt-Wartjensstedt            ;   52.103917;   10.193758;          103;Niedersachsen                           ;
        257;Baden-Baden-Geroldsau                   ;   48.726985;    8.245738;          240;Baden-Württemberg                       ;
        259;Müllheim                                ;   47.806371;    7.638692;          275;Baden-Württemberg                       ;
        260;Badersleben                             ;   51.986135;   10.893353;          153;Sachsen-Anhalt                          ;
        262;Bärnau-Naab                             ;   49.798289;   12.428843;          607;Bayern                                  ;
        264;Bahnsdorf                               ;   51.579307;   14.128471;          114;Brandenburg                             ;
        266;Bahrendorf                              ;   51.997838;   11.563851;           87;Sachsen-Anhalt                          ;
        267;Baierbach                               ;   48.415751;   12.206018;          460;Bayern                                  ;
        268;Baiersbronn-Obertal                     ;   48.529319;    8.272676;          622;Baden-Württemberg                       ;
        269;Baiersbronn-Mitteltal                   ;   48.511594;    8.317613;          599;Baden-Württemberg                       ;
        270;Baiersbronn-Schönegründ                 ;   48.569913;    8.405804;          560;Baden-Württemberg                       ;
        271;Baiersbronn-Zwickgabel                  ;   48.587912;    8.318469;          548;Baden-Württemberg                       ;
        272;Baiersdorf-Hagenau                      ;   49.658302;   11.060863;          285;Bayern                                  ;
        273;Baindt                                  ;   47.841302;    9.660585;          467;Baden-Württemberg                       ;
        274;Bakede                                  ;     52.2167;        9.55;          160;Niedersachsen                           ;
        275;Balderschwang                           ;   47.465031;   10.104292;         1039;Bayern                                  ;
        276;Balgstädt                               ;   51.207329;    11.73024;          110;Sachsen-Anhalt                          ;
        277;Balingen-Heselwangen                    ;   48.277245;    8.883016;          573;Baden-Württemberg                       ;
        278;Ballenstedt                             ;   51.720567;   11.247803;          213;Sachsen-Anhalt                          ;
        279;Baltmannsweiler-Hohengehren             ;   48.757357;    9.451366;          457;Baden-Württemberg                       ;
        280;Bamberg (am Tännig)                     ;     49.8667;     10.9333;          244;Bayern                                  ;
        281;Bamberg (Greiff-Werke)                  ;     49.9167;     10.9333;          253;Bayern                                  ;
        282;Bamberg                                 ;   49.874252;   10.920558;          240;Bayern                                  ;
        283;Bamberg-Altenburg                       ;   49.880775;   10.869488;          382;Bayern                                  ;
        284;Bamberg (Sternwarte)                    ;       49.88;       10.88;          282;Bayern                                  ;
        285;Bammental                               ;   49.360025;    8.782897;          131;Baden-Württemberg                       ;
        287;Walternienburg-Ronney                   ;   51.961014;   11.915903;         52.5;Sachsen-Anhalt                          ;
        288;Bargischow-Gnevezin                     ;   53.840945;   13.754867;            3;Mecklenburg-Vorpommern                  ;
        289;Bargteheide                             ;   53.727528;   10.251417;           45;Schleswig-Holstein                      ;
        290;Barneberg                               ;   52.115521;   11.078023;          143;Sachsen-Anhalt                          ;
        291;Barnin                                  ;   53.596756;   11.695199;           42;Mecklenburg-Vorpommern                  ;
        292;Barnstorf                               ;   52.696508;    8.486956;           37;Niedersachsen                           ;
