Stations_id,Stationsname,Breite, Laenge,Stationshoehe,Bundesland
1172,Einbeck                                 ,   51.818948,    9.887109,123,Niedersachsen                           
1197,Ellwangen-Rindelbach                    ,   48.989498,   10.131234,460,Baden-Württemberg                       
1201,Elsdorf/Erftkreis                       ,   50.928142,    6.564617,85,Nordrhein-Westfalen                     
1207,Elster,    50.27046,   12.274171,        557.5,Sachsen                                 
1229,Ems,   50.332412,     7.69745,90,Rheinland-Pfalz                         
1238,Engelskirchen                           ,   50.988436,    7.424988,144,Nordrhein-Westfalen                     
1254,Eppingen                                ,   49.130652,     8.91648,210,Baden-Württemberg                       
1266,Erfde                                   ,   54.299212,    9.316185,18,Schleswig-Holstein                      
1270,Erfurt-Weimar                           ,   50.982887,   10.960753,316,Thüringen                               
1279,Möhrendorf-Kleinseebach                 ,   49.649749,   11.007464,        267.5,Bayern                                  
1297,Eschwege                                ,   51.204132,   10.013767,156,Hessen                                  
1300,Eslohe                                  ,    51.25399,     8.15653,351,Nordrhein-Westfalen                     
1303,Essen-Bredeney                          ,   51.404085,    6.967741,150,Nordrhein-Westfalen                     
1327,Weilerswist-Lommersum                   ,   50.711886,    6.790489,147,Nordrhein-Westfalen                     
1329,Eutin                                   ,   54.133987,   10.586466,50,Schleswig-Holstein                      
1332,Falkenberg,   48.483155,   12.724136,471,Bayern                                  
1346,Feldberg/Schwarzwald                    ,   47.874893,    8.003817,       1489.6,Baden-Württemberg                       
1357,Fichtelberg/Oberfranken-Hüttstadl       ,   49.980702,   11.837601,        654.5,Bayern                                  
1358,Fichtelberg                             ,   50.428295,   12.953583,1213,Sachsen                                 
1379,Flensburg (Schäferhaus)                 ,   54.773652,    9.375236,41,Schleswig-Holstein                      
1410,Frankenhausen/Kyffhäuser,   51.351209,   11.095832,130,Thüringen                               
1411,Birx/Rhön                               ,    50.53092,   10.047947,747,Thüringen                               
1420,Frankfurt/Main                          ,   50.025911,    8.521294,         99.7,Hessen                                  
1441,Freiberg                                ,   50.926306,   13.271085,416,Sachsen                                 
1443,Freiburg                                ,   48.023242,    7.834292,        236.5,Baden-Württemberg                       
1447,Freiburg im Breisgau-Herdern            ,   48.012977,    7.858837,255,Baden-Württemberg                       
1468,Freudenstadt                            ,   48.453828,    8.408952,        796.5,Baden-Württemberg                       
1492,Malsburg-Marzell-Friedrichsheim         ,   47.781903,    7.734756,852,Baden-Württemberg                       
1503,Friesoythe-Altenoythe                   ,   53.064301,    7.901969,          5.7,Niedersachsen                           
1526,Fulda-Horas                             ,   50.566786,    9.653221,242,Hessen                                  
1544,Gardelegen                              ,   52.512889,   11.394174,47,Sachsen-Anhalt                          
1550,Garmisch-Partenkirchen                  ,   47.482989,   11.062126,        719.3,Bayern                                  
1580,Geisenheim                              ,   49.985894,    7.954826,        110.2,Hessen                                  
1590,Geldern-Walbeck                         ,   51.494168,    6.246343,37,Nordrhein-Westfalen                     
1605,Genthin                                 ,   52.387511,   12.160174,35,Sachsen-Anhalt                          
1612,Gera-Leumnitz                           ,   50.881208,   12.128885,311,Thüringen                               
1619,Gernsheim                               ,   49.762199,    8.488697,90,Hessen                                  
1639,Gießen/Wettenberg                       ,   50.601715,    8.643898,        203.2,Hessen                                  
1645,Gilserberg-Moischeid                    ,   50.965565,    9.050014,340,Hessen                                  
1667,Glückstadt                              ,    53.79702,    9.429456,1,Schleswig-Holstein                      
1684,Görlitz                                 ,   51.162129,   14.950606,        238.5,Sachsen                                 
1689,Gößweinstein                            ,   49.765641,   11.306236,441,Bayern                                  
1691,Göttingen                               ,   51.500248,    9.950659,        167.4,Niedersachsen                           
1694,Goldberg                                ,   53.605834,   12.103404,58,Mecklenburg-Vorpommern                  
1709,Gottleuba,     50.8496,     13.9392,360,Sachsen                                 
1735,Grainet-Rehberg                         ,    48.78935,   13.629026,628,Bayern                                  
1748,Grebenhain-Herchenhain                  ,   50.478799,    9.262017,608,Hessen                                  
1762,Greiz-Dölau                             ,   50.624899,   12.177683,270,Thüringen                               
1873,Grund,   51.795553,   10.237956,300,Niedersachsen                           
1875,Gschwend,   48.935378,    9.736363,492,Baden-Württemberg                       
1891,Rheda-Wiedenbrück-Lintel                ,   51.877017,    8.357671,         72.5,Nordrhein-Westfalen                     
1929,Hahnenklee                              ,   51.859746,    10.33684,567,Niedersachsen                           
1957,Halle-Kröllwitz                         ,   51.513769,   11.949933,93,Sachsen-Anhalt                          
1964,Olsdorf                                 ,   49.944479,     6.38211,328,Rheinland-Pfalz                         
