Stations_id,Stationsname,Breite, Laenge,Stationshoehe,Bundesland
2088,Heidenheim/Brenz                        ,   48.684941,   10.141978,522,Baden-Württemberg                       
2095,Heilbronn                               ,   49.144752,    9.233334,167,Baden-Württemberg                       
2110,Heinsberg-Schleiden                     ,   51.041072,    6.104239,57,Nordrhein-Westfalen                     
2115,Helgoland                               ,   54.174971,    7.891995,          4.4,Schleswig-Holstein                      
2120,Helmstedt                               ,   52.216409,    11.02193,140,Niedersachsen                           
2147,Herford                                 ,   52.126408,     8.68649,77,Nordrhein-Westfalen                     
2167,Niederwörresbach                        ,   49.767176,    7.335605,302,Rheinland-Pfalz                         
2173,Herten                                  ,   51.588967,    7.154827,60,Nordrhein-Westfalen                     
2206,Hildesheim                              ,   52.140812,    9.883806,117,Niedersachsen                           
2211,Hilgenroth                              ,   50.737016,    7.652531,295,Rheinland-Pfalz                         
2228,Hinterzarten                            ,    47.89829,    8.105503,883,Baden-Württemberg                       
2244,Höchenschwand                           ,   47.732709,    8.162696,1008,Baden-Württemberg                       
2250,Höllenstein (Kraftwerk)                 ,   49.127875,   12.864512,403,Bayern                                  
2260,Hof (Stadt)                             ,   50.323032,   11.907729,474,Bayern                                  
2261,Hof                                     ,   50.312257,   11.876039,        565.2,Bayern                                  
2264,Hofgeismar-Beberbeck                    ,   51.533979,    9.478874,242,Hessen                                  
2268,Hofheim                                 ,   50.135089,   10.515559,265,Bayern                                  
2290,Hohenpeißenberg                         ,   47.800869,   11.010819,        977.2,Bayern                                  
2324,Holzminden-Silberborn                   ,   51.765853,    9.544662,440,Niedersachsen                           
2327,Homberg/Ohm                             ,   50.731569,    9.003154,250,Hessen                                  
2331,Homburg/Saar                            ,   49.327792,    7.353336,235,Saarland                                
2349,Hornisgrinde                            ,   48.613637,    8.203343,       1138.1,Baden-Württemberg                       
2423,Isny                                    ,   47.689421,   10.041633,712,Baden-Württemberg                       
2444,Jena (Sternwarte)                       ,   50.925141,   11.582984,155,Thüringen                               
2456,Jever                                   ,     53.5322,      7.8806,7,Niedersachsen                           
2474,Jülich (Forsch.-Anlage)                 ,   50.910444,     6.40934,91,Nordrhein-Westfalen                     
2477,Jungholz (Kühmoos)                      ,   47.593825,    7.959725,728,Baden-Württemberg                       
2480,Kahl/Main                               ,   50.064347,    8.992973,        107.5,Bayern                                  
2483,Kahler Asten                            ,   51.180254,    8.489068,839,Nordrhein-Westfalen                     
2488,Kaisheim-Neuhof                         ,   48.770102,   10.787615,516,Bayern                                  
2497,Kall-Sistig                             ,    50.50141,    6.526408,505,Nordrhein-Westfalen                     
2522,Karlsruhe                               ,   49.038161,     8.36406,        111.6,Baden-Württemberg                       
2532,Kassel                                  ,   51.296303,    9.442424,231,Hessen                                  
2542,Kaufbeuren                              ,   47.865204,   10.600653,716,Bayern                                  
2543,Kaufering                               ,    48.09158,   10.860913,585,Bayern                                  
2559,Kempten                                 ,   47.723263,   10.334786,        705.2,Bayern                                  
2578,Kirchdorf/Poel                          ,   53.999513,   11.434142,14,Mecklenburg-Vorpommern                  
2601,Kleiner Feldberg/Taunus                 ,   50.221797,    8.446883,        822.1,Hessen                                  
2618,Kleiner Inselsberg                      ,   50.845847,   10.480262,732,Thüringen                               
2629,Kleve                                   ,   51.761242,    6.095381,46,Nordrhein-Westfalen                     
2638,Klippeneck                              ,   48.105397,    8.754788,        973.5,Baden-Württemberg                       
2657,Koblenz-Horchheim                       ,   50.336911,    7.599165,85,Rheinland-Pfalz                         
2667,Köln-Bonn                               ,   50.864559,    7.157488,92,Nordrhein-Westfalen                     
2677,Königsfeld/Schwarzwald                  ,   48.141264,    8.428456,730,Baden-Württemberg                       
2700,Kösching                                ,   48.830189,   11.487243,416,Bayern                                  
2712,Konstanz                                ,   47.695219,    9.130698,        428.1,Baden-Württemberg                       
2750,Kronach                                 ,   50.252352,   11.320925,310,Bayern                                  
2812,Lahr                                    ,   48.364742,    7.827986,        155.7,Baden-Württemberg                       
2814,Merklingen                              ,   48.512173,    9.764396,687,Baden-Württemberg                       
2907,Leck                                    ,   54.790294,    8.951446,7,Schleswig-Holstein                      
2925,Leinefelde                              ,   51.393197,   10.312349,        355.9,Thüringen                               
2928,Leipzig-Holzhausen                      ,    51.31509,   12.446226,138,Sachsen                                 
2932,Leipzig/Halle                           ,   51.434711,   12.239585,131,Sachsen                                 
2947,Lennestadt-Theten                       ,   51.133253,    8.034831,286,Nordrhein-Westfalen                     
2949,Lenningen-Schopfloch                    ,   48.539622,    9.527497,758,Baden-Württemberg                       
2950,Lensahn                                 ,   54.218979,   10.884417,14,Schleswig-Holstein                      
2953,Lenzkirch-Ruhbühl                       ,   47.859705,    8.230755,854,Baden-Württemberg                       
2968,Köln-Stammheim                          ,   50.989428,    6.977688,43,Nordrhein-Westfalen                     
3004,Limburg/Lahn-Offheim                    ,   50.411603,    8.060496,185,Hessen                                  
3015,Lindenberg                              ,   52.208489,   14.118032,98,Brandenburg                             
3018,Lindenfels-Winterkasten                 ,   49.711685,    8.780395,445,Hessen                                  
3023,Lingen                                  ,   52.518093,    7.308057,22,Niedersachsen                           
3032,List auf Sylt                           ,   55.010989,    8.412531,         24.7,Schleswig-Holstein                      
3056,Lohr/Main-Steinbach                     ,   50.010254,    9.609971,161,Bayern                                  
3093,Lüchow                                  ,   52.972379,   11.137371,         16.2,Niedersachsen                           
3096,Lüdenscheid (Zeppelin-Gymnasium)        ,   51.213111,    7.635855,444,Nordrhein-Westfalen                     
3103,Lüneburg                                ,   53.265685,   10.424006,11,Niedersachsen                           
3126,Magdeburg                               ,   52.102896,   11.582674,79,Sachsen-Anhalt                          
3137,Mainz-Lerchenberg (ZDF)                 ,   49.965563,    8.213884,195,Rheinland-Pfalz                         
3147,Mallersdorf-Pfaffenberg-Oberlindhart    ,   48.754812,   12.211827,390,Bayern                                  
3155,Manderscheid-Sonnenhof                  ,   50.101542,    6.800909,413,Rheinland-Pfalz                         
3196,Marnitz                                 ,    53.32222,   11.932143,81,Mecklenburg-Vorpommern                  
3212,Mayen                                   ,   50.324912,    7.230019,230,Rheinland-Pfalz                         
3234,Garsebach bei Meißen                    ,   51.129431,   13.432783,158,Sachsen                                 
3244,Memmingen                               ,   47.982065,    10.13838,614,Bayern                                  
3253,Sankt Blasien-Menzenschwand             ,    47.83087,    8.069848,882,Baden-Württemberg                       
3271,Metten                                  ,    48.85476,   12.918911,314,Bayern                                  
3289,Schmieritz-Weltwitz                     ,   50.728119,   11.783769,356,Thüringen                               
3307,Mittenwald-Buckelwiesen                 ,   47.477866,   11.265311,        983.5,Bayern                                  
