Stations_id,Stationsname,geogr. Breite,geogr. Laenge,Stationshoehe,Bundesland
298,Barth                                   ,   54.340527,   12.710848,3,Mecklenburg-Vorpommern                  
303,Baruth                                  ,   52.061327,   13.499695,         54.6,Brandenburg                             
320,Heinersreuth-Vollhof                    ,   49.966617,   11.519843,        349.5,Bayern                                  
326,Beckum-Unterberg                        ,   51.720353,    8.057689,120,Nordrhein-Westfalen                     
327,Bederkesa                               ,   53.623437,    8.832253,27,Niedersachsen                           
330,Oberzent-Beerfelden                     ,   49.561729,    8.967329,455,Hessen                                  
335,Behrensdorf                             ,   54.342563,    10.60176,4,Schleswig-Holstein                      
342,Belm                                    ,   52.317043,     8.16943,        103.3,Niedersachsen                           
348,Bendorf                                 ,   50.413502,    7.588566,127,Rheinland-Pfalz                         
355,Bensheim                                ,   49.678889,    8.627617,140,Hessen                                  
361,Berchtesgaden (KKst)                    ,   47.634447,   13.010919,550,Bayern                                  
365,Berg/Oberpfalz                          ,   49.331142,   11.430315,421,Bayern                                  
368,Bergen                                  ,   52.815233,    9.924809,         68.5,Niedersachsen                           
395,Berlin-Adlershof                        ,     52.4167,     13.4833,38,Berlin                                  
399,Berlin-Alexanderplatz                   ,   52.519785,   13.405678,         35.8,Berlin                                  
400,Berlin-Buch                             ,   52.630956,   13.502135,60,Berlin                                  
402,Berlin-Dahlem (LFAG)                    ,   52.456399,   13.299675,55,Berlin                                  
403,Berlin-Dahlem (FU)                      ,   52.453711,   13.301731,51,Berlin                                  
405,Berlin-Friedrichshagen                  ,       52.45,       13.65,37,Berlin                                  
407,Berlin-Frohnau                          ,   52.646077,   13.285772,48,Berlin                                  
408,Berlin-Invalidenstraße                  ,     52.5333,     13.3833,35,Berlin                                  
410,Berlin-Kaniswall                        ,   52.404034,   13.730854,33,Berlin                                  
416,Berlin-Lichtenrade                      ,   52.406906,   13.412659,47,Berlin                                  
417,Berlin-Lichterfelde (Süd)               ,   52.414404,   13.303575,43,Berlin                                  
420,Berlin-Marzahn                          ,   52.544744,   13.559789,61,Berlin                                  
422,Berlin-Mitte                            ,     52.5333,     13.3833,35,Berlin                                  
424,Berlin-Ostkreuz                         ,        52.5,     13.4667,36,Berlin                                  
425,Berlin-Rudow                            ,   52.404407,   13.483848,38,Berlin                                  
427,Berlin Brandenburg                      ,   52.380702,   13.530576,         45.6,Brandenburg                             
429,Berlin-Spandau                          ,   52.566685,   13.169392,32,Berlin                                  
430,Berlin-Tegel                            ,   52.564402,   13.308805,         35.5,Berlin                                  
432,Berlin-Tegeler Fliesstal                ,   52.604382,   13.295172,36,Berlin                                  
433,Berlin-Tempelhof                        ,   52.467451,    13.40212,48,Berlin                                  
434,Berlin-Treptow                          ,   52.455301,   13.469949,35,Berlin                                  
435,Berlin-Zehlendorf                       ,   52.428902,   13.232686,45,Berlin                                  
445,Bernburg/Saale (Nord)                   ,   51.821792,    11.71098,         84.5,Sachsen-Anhalt                          
450,Bernkastel-Kues                         ,     49.9186,      7.0664,120,Rheinland-Pfalz                         
460,Berus                                   ,   49.264065,     6.68677,363,Saarland                                
474,Warthausen-Birkenhard                   ,    48.12517,    9.763868,599,Baden-Württemberg                       
480,Biedenkopf-Wallau                       ,    50.92751,    8.493681,296,Hessen                                  
502,Bischbrunn                              ,   49.874669,     9.48829,412,Bayern                                  
524,Bitterfeld                              ,     51.6333,     12.3167,80,Sachsen-Anhalt                          
535,Blankenrath                             ,   50.037229,    7.307861,417,Rheinland-Pfalz                         
550,Bobeck                                  ,   50.904081,   11.798477,344,Thüringen                               
553,Bocholt (Marienschule)                  ,   51.838038,    6.610709,25,Nordrhein-Westfalen                     
554,Bocholt-Liedern (Wasserwerk)            ,     51.8293,     6.53651,23,Nordrhein-Westfalen                     
555,Bochum                                  ,   51.478883,    7.269714,101,Nordrhein-Westfalen                     
576,Böblingen                               ,   48.675904,    8.973175,445,Baden-Württemberg                       
