Stations_id;Stationsname;geogr. Breite;geogr. Laenge;Stationshoehe;Bundesland;
       1721;Gräfenberg-Kasberg                      ;    49.66399;   11.223886;        505.5;Bayern                                  ;
       1735;Grainet-Rehberg                         ;    48.78935;   13.629026;          628;Bayern                                  ;
       1736;Grambek                                 ;   53.573115;   10.679686;           27;Schleswig-Holstein                      ;
       1757;Greifswald                              ;   54.096704;   13.405565;            2;Mecklenburg-Vorpommern                  ;
       1766;Münster/Osnabrück                       ;    52.13437;    7.696854;         47.8;Nordrhein-Westfalen                     ;
       1803;Groß Lüsewitz                           ;   54.071372;    12.32378;           34;Mecklenburg-Vorpommern                  ;
       1832;Großer Arber                            ;   49.112887;   13.133791;         1436;Bayern                                  ;
       1869;Grünow                                  ;   53.315357;   13.933856;         55.9;Brandenburg                             ;
       1964;Olsdorf                                 ;   49.944479;     6.38211;          328;Rheinland-Pfalz                         ;
       1975;Hamburg-Fuhlsbüttel                     ;   53.633172;    9.988102;         10.7;Hamburg                                 ;
       1981;Hamburg-Neuwiedenthal                   ;   53.477658;    9.895686;            3;Hamburg                                 ;
       2014;Hannover                                ;   52.464428;    9.677906;         55.2;Niedersachsen                           ;
       2039;Harzburg, Bad                           ;   51.900249;   10.569851;          201;Niedersachsen                           ;
       2044;Harzgerode                              ;   51.651967;   11.136645;          404;Sachsen-Anhalt                          ;
       2074;Hechingen                               ;   48.375242;    8.980031;        517.5;Baden-Württemberg                       ;
       2110;Heinsberg-Schleiden                     ;   51.041072;    6.104239;           57;Nordrhein-Westfalen                     ;
       2115;Helgoland                               ;   54.174971;    7.891995;          4.4;Schleswig-Holstein                      ;
       2171;Hersfeld, Bad                           ;   50.851957;    9.737694;        272.2;Hessen                                  ;
       2201;Hiddensee-Vitte                         ;   54.574971;   13.104427;            1;Mecklenburg-Vorpommern                  ;
       2211;Hilgenroth                              ;   50.737016;    7.652531;          295;Rheinland-Pfalz                         ;
       2261;Hof                                     ;   50.312257;   11.876039;        565.2;Bayern                                  ;
       2290;Hohenpeißenberg                         ;   47.800869;   11.010819;        977.2;Bayern                                  ;
       2306;Hohwacht                                ;   54.319391;   10.673193;            8;Schleswig-Holstein                      ;
       2319;Holzkirchen                             ;   47.882292;   11.696146;          685;Bayern                                  ;
       2444;Jena (Sternwarte)                       ;   50.925141;   11.582984;          155;Thüringen                               ;
       2480;Kahl/Main                               ;   50.064347;    8.992973;        107.5;Bayern                                  ;
       2483;Kahler Asten                            ;   51.180254;    8.489068;          839;Nordrhein-Westfalen                     ;
       2497;Kall-Sistig                             ;    50.50141;    6.526408;          505;Nordrhein-Westfalen                     ;
       2542;Kaufbeuren                              ;   47.865204;   10.600653;          716;Bayern                                  ;
       2559;Kempten                                 ;   47.723263;   10.334786;        705.2;Bayern                                  ;
       2578;Kirchdorf/Poel                          ;   53.999513;   11.434142;           14;Mecklenburg-Vorpommern                  ;
       2597;Kissingen, Bad                          ;   50.223991;   10.079245;        281.8;Bayern                                  ;
       2600;Kitzingen                               ;   49.736318;   10.178126;          193;Bayern                                  ;
       2601;Kleiner Feldberg/Taunus                 ;   50.221797;    8.446883;        822.1;Hessen                                  ;
       2618;Kleiner Inselsberg                      ;   50.845847;   10.480262;          732;Thüringen                               ;
       2627;Schipkau-Klettwitz                      ;   51.555433;   13.884528;          128;Brandenburg                             ;
       2629;Kleve                                   ;   51.761242;    6.095381;           46;Nordrhein-Westfalen                     ;
       2638;Klippeneck                              ;   48.105397;    8.754788;        973.5;Baden-Württemberg                       ;
       2641;Klitzschen bei Torgau                   ;   51.518528;   12.906488;         90.4;Sachsen                                 ;
       2667;Köln-Bonn                               ;   50.864559;    7.157488;           92;Nordrhein-Westfalen                     ;
       2680;Königshofen, Bad                        ;   50.284014;   10.445599;        288.5;Bayern                                  ;
       2700;Kösching                                ;   48.830189;   11.487243;          416;Bayern                                  ;
       2704;Köthen (Anhalt)                         ;   51.751087;   12.009351;         76.4;Sachsen-Anhalt                          ;
       2708;Kohlgrub, Bad (Rosshof)                 ;   47.665187;   11.080459;          742;Bayern                                  ;
       2712;Konstanz                                ;   47.695219;    9.130698;        428.1;Baden-Württemberg                       ;
       2750;Kronach                                 ;   50.252352;   11.320925;          310;Bayern                                  ;
       2794;Kyritz                                  ;   52.936248;   12.409335;           40;Brandenburg                             ;
       2812;Lahr                                    ;   48.364742;    7.827986;        155.7;Baden-Württemberg                       ;
       2814;Merklingen                              ;   48.512173;    9.764396;          687;Baden-Württemberg                       ;
       2856;Langenlipsdorf                          ;   51.917335;   13.087762;           91;Brandenburg                             ;
       2907;Leck                                    ;   54.790294;    8.951446;            7;Schleswig-Holstein                      ;
       2925;Leinefelde                              ;   51.393197;   10.312349;        355.9;Thüringen                               ;
       2928;Leipzig-Holzhausen                      ;    51.31509;   12.446226;          138;Sachsen                                 ;
       2932;Leipzig/Halle                           ;   51.434711;   12.239585;          131;Sachsen                                 ;
       2947;Lennestadt-Theten                       ;   51.133253;    8.034831;          286;Nordrhein-Westfalen                     ;
       2951;Lenzen/Elbe                             ;   53.100708;   11.486414;           20;Brandenburg                             ;
       2953;Lenzkirch-Ruhbühl                       ;   47.859705;    8.230755;          854;Baden-Württemberg                       ;
       2968;Köln-Stammheim                          ;   50.989428;    6.977688;           43;Nordrhein-Westfalen                     ;
       2985;Lichtenhain-Mittelndorf                 ;   50.938325;    14.20938;          321;Sachsen                                 ;
       3015;Lindenberg                              ;   52.208489;   14.118032;           98;Brandenburg                             ;
       3023;Lingen                                  ;   52.518093;    7.308057;           22;Niedersachsen                           ;
       3028;Lippspringe, Bad                        ;   51.785416;    8.838795;          157;Nordrhein-Westfalen                     ;
       3031;Lippstadt-Bökenförde                    ;   51.633617;     8.39445;           92;Nordrhein-Westfalen                     ;
